,feature,siren_present
00_000066.wav,"[-302.4220275878906, 142.6025390625, -19.07164192199707, 33.93098449707031, -2.642072916030884, 10.124553680419922, 2.3184831142425537, 13.095526695251465, 1.8695017099380493, 13.454853057861328, 3.3412680625915527, 9.20477294921875, 6.8636674880981445, -0.6481421589851379]",false
00_000118.wav,"[-355.94866943359375, 144.1094512939453, -8.138643264770508, 30.520082473754883, -1.1380640268325806, 16.937664031982422, -1.5636259317398071, 15.685789108276367, -3.3937370777130127, 14.965020179748535, 2.8679370880126953, 6.346074104309082, 6.193660259246826, 3.4988210201263428]",false
00_000275.wav,"[-288.35662841796875, 138.7447509765625, -14.921529769897461, 35.84232711791992, 5.881163597106934, 12.586691856384277, 2.054286241531372, 17.136432647705078, 1.0064786672592163, 13.429869651794434, 1.5809416770935059, 3.724146842956543, 5.639796257019043, -0.09873007982969284]",false
00_000277.wav,"[-274.3795471191406, 113.51966094970703, -43.61482620239258, 9.94332218170166, 1.2401676177978516, 25.579008102416992, 23.609275817871094, 12.386924743652344, -12.607131004333496, 11.208759307861328, 17.374095916748047, 9.421161651611328, 2.439005136489868, -1.138606071472168]",true
00_000357.wav,"[-355.8924255371094, 166.0321044921875, -28.605783462524414, 21.511564254760742, 1.2996256351470947, 15.357807159423828, 5.245457172393799, 13.81203556060791, 3.0903666019439697, 15.830377578735352, 2.3258602619171143, 4.509265899658203, 4.89957857131958, 1.9527451992034912]",false
00_000436.wav,"[-246.03163146972656, 107.45590209960938, 1.1247661113739014, 39.650634765625, -3.545039415359497, 13.532297134399414, 2.480325222015381, 14.787755012512207, -4.273737907409668, 12.93520450592041, -3.8683462142944336, 3.4833266735076904, 0.6644542813301086, -2.0863213539123535]",false
00_000440.wav,"[-258.4890441894531, 129.60372924804688, -14.49756908416748, 22.767927169799805, 3.1029341220855713, 19.098623275756836, -4.651489734649658, 23.78285026550293, -6.0867815017700195, 21.631343841552734, 0.9494736790657043, 8.453131675720215, 9.810111045837402, -3.389547348022461]",false
00_000612.wav,"[-363.49139404296875, 143.9866943359375, -8.785187721252441, 31.45197105407715, 2.823004961013794, 14.957586288452148, 5.461910247802734, 14.741708755493164, -1.1498725414276123, 12.57977294921875, 3.6264352798461914, 9.540412902832031, 8.913172721862793, 2.265648365020752]",false
00_000688.wav,"[-250.89675903320312, 105.9435806274414, -15.373967170715332, 22.275564193725586, -2.051473379135132, 9.583222389221191, 1.4305164813995361, 14.706960678100586, 2.441758632659912, 15.69666862487793, 2.183668851852417, 11.961421012878418, 4.762868881225586, -4.665529727935791]",true
00_000765.wav,"[-399.1014099121094, 157.4232635498047, -13.98381519317627, 31.1882381439209, 7.574293613433838, 12.222140312194824, 9.14961051940918, 12.643342971801758, 3.027956485748291, 11.031486511230469, 5.929037570953369, 10.970670700073242, 8.0355224609375, 5.181647300720215]",false
